,breed,male_h,female_h,male_w,female_w,w_kid,in_out_door
1021,CHOW-CHOW-X,,,,,,
1022,LHASA-BIJON,,,,,,
1023,BRUSS-GRIFFON-X,,,,,,
1024,DACHS/SHIH-TZU,,,,,,
1025,Poddle&Maltese-Mix,,,,,,
1026,Red-Tick-Coonhound,,,,,,
1027,Multi-Poo,,,,,,
1028,BULL-DOG-MIX,,,,,,
1029,Yorkie/-Maltese,,,,,,
1030,Snoodle,,,,,,
1031,Collie-mix,,,,,,
1032,Lab-terr-x,,,,,,
1033,shep/doxie,,,,,,
1034,english-mastiff,,,,,,
1035,retriver-mixed,,,,,,
1036,ENGLISH-SHEPHER,,,,,,
1037,Coton,,,,,,
1038,Doxen/-Petit-Basset-Griffon-Vendeen,,,,,,
1039,COLLIE-RETRIEVER-MIX,,,,,,
1040,lab-terr-mix,,,,,,
1041,BEARDED-COLLIE-MIX,,,,,,
1042,TOY-MALTESE,,,,,,
1043,BOSTON-TERR-MIX,,,,,,
1044,BICHON-MIX,,,,,,
1045,Yorkie/Terrier/Bichon,,,,,,
1046,MINIATURE-SCHNAUZER,"[12, 14]","[12, 14]","[12, 14]","[12, 14]",,
1047,CROSS-BREED,,,,,,
1048,Mini-Australian-Shepherd,,,,,,
1049,Yorkie-Poo-Mix,,,,,,
1050,Soft-Coat-Weaton-Terrier,,,,,,
1051,SHIHTZ/POODLE-X,,,,,,
1052,SOFTC-WHEAT-TER,,,,,,
1053,YORKIESHIRE-MALTESE,,,,,,
1054,Poodle-X,,,,,,
1055,ENGLISH-PUG,,,,,,
1056,BLUE-NOSE-PIT-BULL-TERR,,,,,,
1057,shih-poo,"[8, 13]","[8, 13]","[13, 20]","[13, 20]",Shih-poos love to play with kids. Kids should be supervised with the Shih-poo until they learn to play gently and not squeeze too hard when hugging.,"The Shih-Poo is a great indoor dog who can even live happily in an apartment or RV if he gets walks to meet people, explore his surroundings, and go potty. It is best to keep him on a leash to protect him from larger dogs and animals. He can be happy in a house with a fenced yard â€“ and getting a walk or two a day. "
1058,Yellow-Lab,,,,,,
1059,cavapoo,[],[],[],[],"The Cavapoo makes a good small dog for a family, but young children should be supervised with them. They will love all family members.",Cavapoos are indoor dogs who love a good walk or a fenced yard to explore. They love to meet people and go places with their owners. They should be leashed any time they are not inside a fenced area.
1060,MALTESE/CAV-KIN,,,,,,
1061,YORKIEPOO,,,,,,
1062,Corgi-or-Jack-Russell-mixed-with-Black-Lab and Pit,,,,,,
1063,Other,,,,,,
1064,CHIHUAHUA-X,,,,,,
1065,Border-Collie-Black-Labrador-Retriever-Mix,,,,,,
1066,BRAUZER,,,,,,
1067,Slorky,,,,,,
1068,ori-pei,,,,,,
1069,Chihuahua-/Poodle,,,,,,
1070,mostly-labrador-retriever,,,,,,
1071,POTCAKE,,,,,,
1072,MALTE-POO,,,,,,
1073,Jack-Russell-&-Fox-Terrier,,,,,,
1074,Husky-Mix,,,,,,
1075,WESTMINSTER-TER,,,,,,
1076,6152012,,,,,,
1077,YORKIE/SHIH-TZU-MIX,,,,,,
1078,Puggle-(Pug-Mix),,,,,,
1079,Yorki-poodle,,,,,,
1080,AUST.CATTLE-DOG,,,,,,
1081,YORKIE-POO-GREZLEY,,,,,,
1082,Mini-Labra-Doodle,,,,,,
1083,Bull-Dog-Mix,,,,,,
1084,Pekingese-Mix,,,,,,
1085,Bugg,,,,,,
1086,Mixed-Chow,,,,,,
1087,wire-haired-terrier,,,,,,
1088,Shit-zu-mix,,,,,,
1089,Golden-Retriever-Mix,,,,,,
1090,BERGAMASCO,"[22, 24]","[21, 23]","[70, 85]","[57, 71]",,
1091,AUSTRALIAN-LABRADOODLE,,,,,,
1092,Jack-Russ-Terr-Mix,,,,,,
1093,Boxer-Lab-X,,,,,,
1094,Canaan,,,,,,
1095,Possibly-a-Parson-Russell-Terrier-mixed-with-Chiwa,,,,,,
1096,Husky-and-Akita-Mix,,,,,,
1097,Taiwan-Mountain,,,,,,
1098,peke-a-poo,,,,,,
1099,Cavachon,"[12, 13]","[12, 13]","[15, 25]","[15, 25]","If they are well socialized with kids from a young age, they will love having all the attention from all family members."," They are an indoor dog, but love outdoor playtimes and walks when the weather permits."
1100,Caroline-Dog,,,,,,
1101,Aussie-Cattle-Dog-Heeler,,,,,,
1102,IRISH-JACK-RUSS,,,,,,
1103,Yorkshire/Maltese,,,,,,
1104,MINI-GOLDEN-DOODLE,,,,,,
1105,Border-Collie-X,,,,,,
1106,BEARDED-COLLIE,[21],[20],"[40, 60]","[40, 60]",,
1107,ZUCHON,,,,,,
1108,CATTLE-DOG-MIX,,,,,,
1109,ITALIAN-SPINONE,[27],[27],[],[],Italian Spinones get along well with children and other animals. ,
1110,BLACK-LAB-MULTI,,,,,,
1111,French-Poodle,,,,,,
1112,MAERICAN-STAFFORDSHIRE-MIX,,,,,,
1113,Long-Hair-Chihuahua,,,,,,
1114,CATAHOULA-LEOPARD-CUR,,,,,,
1115,TEACUP-POODLE,[9],[9],[6],[6],"If well socialized as a puppy, Teacup Poodles will love children. However, it is critical that the children be carefully watched when holding and playing with the dog so as not to frighten the dog, squeeze him, smother him, or toss him about like a plaything."," The Teacup Poodle can live his whole life indoors by housetraining him to potty pads or a litter box rather than outdoors. However, he will need a lot of play exercise and a window to watch the world. Teacup Poodles love walks and romps in the yard"
1116,Pomeranian-Mix,,,,,,
1117,Cocker-Spaniel/Miniature-Poodle,,,,,,
1118,Westi-Poo,,,,,,
1119,Shipa,,,,,,
1120,PEAGLE,,,,,,
1121,Shih-Tzu/Papillion,,,,,,
1122,Lab-Chow-Newfie-Mix,,,,,,
1123,terr-mix,,,,,,
1124,Terrier-Mixed,,,,,,
1125,bichon-poodle-mix,,,,,,
1126,Feist-Mix,,,,,,
1127,chih-mix,,,,,,
1128,Bichon-Poo,,,,,,
1129,CHIWEENIE,"[6, 10]","[6, 10]","[5, 12]","[5, 12]","Chiweenies do best in homes with one or two adults and no children, but they can be trained to get along with older children and other pets.",Chiweenies are an indoor dog who likes to go for outdoor walks in nice weather.
1130,MINI-LABRADOODLE,,,,,,
1131,FRENCH-POODLE,,,,,,
1132,YORKIE-RAT-TERR,,,,,,
1133,Matipoo,,,,,,
1134,Morky,,,,,,
1135,PIT-BULL-TERRIER,,,,,,
1136,Lab-Bord-Collie,,,,,,
1137,Pomapoo,"[8, 9]","[8, 9]","[5, 14]","[5, 14]","Pomapoos love children, but young children must be supervised when playing with them.",The Pomapoo must be an indoor dog. They are not happy by themselves or outdoors without their people.
1138,Yorkshire-Terr.-Mix,,,,,,
1139,Small-Munsterlander,,,,,,
1140,MaltiPoo,"[8, 14]","[8, 14]","[5, 20]","[5, 20]","The Maltipoo loves children, but should not be trusted with children younger than age six without supervision.", The Maltipoo needs to live inside your home. 
1141,AMERICAN-SPANIEL-MIX,,,,,,
1142,CHIHUAHUA/PUG-MIX,,,,,,
1143,GERMAN-SHEPHARD-ROTTWEILER,,,,,,
1144,Schnauzer/Poodle,,,,,,
1145,"SHIH-TZU,-POODLE",,,,,,
1146,JACK-RUSSELL-TERR-MIX,,,,,,
1147,Whippet-Mix,,,,,,
1148,collie--shepherd-mix,,,,,,
1149,Hound-x,,,,,,
1150,chih-jack-russ,,,,,,
1151,Chintese,,,,,,
1152,Lhasa-Apso---Poodle-Mix,,,,,,
1153,TERRIER-MX,,,,,,
1154,Aierdale-Terrier,,,,,,
1155,Labrador-Retriever-Border-Collie-Mix,,,,,,
1156,YORKIE-TERR-MIX,,,,,,
1157,unknown-mix,,,,,,
1158,SILKY-TERRIER-X,,,,,,
1159,Cavapoo,[],[],[],[],"The Cavapoo makes a good small dog for a family, but young children should be supervised with them. They will love all family members.",Cavapoos are indoor dogs who love a good walk or a fenced yard to explore. They love to meet people and go places with their owners. They should be leashed any time they are not inside a fenced area.
1160,mixed,,,,,,
1161,pekopoo,,,,,,
1162,NO-IDEA,,,,,,
1163,Cocoer-poo,,,,,,
1164,Pit-Bull/Mastiff,,,,,,
1165,Corgi-Rat-Terrier,,,,,,
1166,Yorkshire-Terrier-Mix,,,,,,
1167,Mini-Pin-Mixed,,,,,,
1168,HAVA-POO,,,,,,
1169,hound-cattle-dog,,,,,,
1170,SCHNOODLE-X,,,,,,
1171,Shih-Chon,,,,,,
1172,Catahoula-Lab-mix,,,,,,
1173,Rescued.-Beagle/shih-tzu,,,,,,
1174,Boston-Terrier-/-Lhasa-Apso,,,,,,
1175,Havanese/Coton-Detulear,,,,,,
1176,SHEPHERD--MIX,,,,,,
1177,hound-mix,,,,,,
1178,TERRIER---X,,,,,,
1179,Chihuahua-X,,,,,,
1180,Australian-Shepard-mix?,,,,,,
1181,AKITA-MIX,,,,,,
1182,CHIH-TERR,,,,,,
1183,TERRIER-BOXER-MIX,,,,,,
1184,Wheaton-Terrier-Mix,,,,,,
1185,CHI/DOXEN,,,,,,
1186,beagle-mix,,,,,,
1187,lab-mix,,,,,,
1188,Mini-Pinscher/Chihuahua-Mix,,,,,,
1189,engish-pointer,,,,,,
1190,Jack-Russell-Terr-Mix,,,,,,
1191,Husky-Malamute,,,,,,
1192,hunting-dog/rescue,,,,,,
1193,PEAKAPOO,,,,,,
1194,Whippet-Labrador-Mix,,,,,,
1195,Parsons-Russell-Terrier-mix,,,,,,
1196,Yorki-tzu,,,,,,
1197,AM-ESKIMO-/-MALTESE,,,,,,
1198,Yorkshire-Terrier-Toy,,,,,,
1199,Yorky,,,,,,
1200,lab-Terr-mix,,,,,,
1201,Pit-Bull-Mastiff,,,,,,
1202,MALTAPOO,,,,,,
1203,YORKIE-POODLE,,,,,,
1204,Havapeke,,,,,,
1205,Shep-Mix,,,,,,
1206,coonhound-mix,,,,,,
1207,Havapoo,,,,,,
1208,PIT-BULL-TERR-MIX,,,,,,
1209,Toy-Manchester-Terrier,,,,,,
1210,pitbull-mix,,,,,,
1211,CavaChon,"[12, 13]","[12, 13]","[15, 25]","[15, 25]","If they are well socialized with kids from a young age, they will love having all the attention from all family members."," They are an indoor dog, but love outdoor playtimes and walks when the weather permits."
1212,LAB-GOLD-RET-CROSS,,,,,,
1213,SHIH-TZU-POODLE-MIX,,,,,,
1214,BOSTON-BULLDOG,,,,,,
1215,Italian/Sicilian-hound,,,,,,
1216,JACK-RUS-CHIHUA,,,,,,
1217,WELSH-TERRIER,[],[],[],[],,
1218,CHOW-MIX,,,,,,
1219,Blue-Heeler-/-Schnauser,,,,,,
1220,Labradoodle-Mini,,,,,,
1221,Hound-Terrier-Mix,,,,,,
1222,Papillion-Mix,,,,,,
1223,Potcake,,,,,,
1224,airedale-terrier,"[22, 24]","[22, 23]","[50, 65]","[40, 55]",,
1225,English-Pointer,,,,,,
1226,Fox-Terrier-Mix,,,,,,
1227,Shih-Tzu--Mix,,,,,,
1228,CHIHUAHUA-TERRIER-MIX,,,,,,
1229,labrador-retriever-hound-mix,,,,,,
1230,Terrier--X,,,,,,
1231,GERMAN-SHEPHERD-MIX,,,,,,
1232,Aust-Heller-Mix,,,,,,
1233,LAB-RETRIEVER---MIX,,,,,,
1234,POMERANIAN-MIX,,,,,,
1235,English-Pointer-Mix,,,,,,
1236,toy-aussie,,,,,,
1237,mutt,,,,,,
1238,COLLIE/SHEPHERD-MIX,,,,,,
1239,Pit-Ter-Lab,,,,,,
1240,Hungarian-Puli,,,,,,
1241,Jack-Russell-/-Mini-Aussie-Mix,,,,,,
1242,CATTLEDOG-MIXED,,,,,,
1243,AFFENPINSCHER,"[24, 29]","[24, 29]","[7, 8, 3]","[7, 8, 3]",,
1244,america-eskimo-and-poodle,,,,,,
1245,pug-bijon,,,,,,
1246,Poodle/Italian-Greyhound,,,,,,
1247,Malkie,,,,,,
1248,Spinone,,,,,,
1249,Shih-Tzu-/-Terrier-mix,,,,,,
1250,Lab-mix,,,,,,
1251,AMERICAN-STAFFORDSHIE,,,,,,
1252,MULTI,,,,,,
1253,TREEING-WALKER-COONHOUND,,,,,,
1254,Shihchon,,,,,,
1255,OLDE-ENGLISH-BULL-DOG,,,,,,
1256,Shih-Tzu-mix,,,,,,
1257,Dachshund-Scottie,,,,,,
1258,Chihuahua/Greyhound,,,,,,
1259,AUSTRALIAN-SHEP,,,,,,
1260,Spitz-Mix,,,,,,
1261,LHASA-APSO/SHIH,,,,,,
1262,Welsh-Corgi-Mix,,,,,,
1263,Pekapoo,,,,,,
1264,RUSSEL,,,,,,
1265,SHIHCHON,,,,,,
1266,Poo-Chon,,,,,,
1267,LG-HR-CHIHUAHUA,,,,,,
1268,Shih-Tzu---Brussels-Griffon,,,,,,
1269,MIX-TERRIER,,,,,,
1270,jack-russel-terrier-mix,,,,,,
1271,STANDARD-POODLE,,,,,,
1272,BICHON-POODLE,,,,,,
1273,Manchester-Shepherd-Mix,,,,,,
1274,patterdale-mix-terrier,,,,,,
1275,Maltepoo,,,,,,
1276,PINSCHER-CHIH,,,,,,
1277,Lhasa-Apso-Miix,,,,,,
1278,SCHNAUZER-POODLE,,,,,,
1279,cokaspinial-poodle,,,,,,
1280,boston-terrier/french-bulldog,,,,,,
1281,Carolina-mix,,,,,,
1282,Beagle/Terrier-Mix,,,,,,
1283,HAVACHON,,,,,,
1284,GOLDEN-RETRIEVER-MIX,,,,,,
1285,ENGLISH-BULL-TERRIER,,,,,,
1286,COCKA-POO,,,,,,
1287,Mini-Bull-Terrier,,,,,,
1288,AMER-PIT-BULL-TERR-MIX,,,,,,
1289,austrian-hunting,,,,,,
1290,AM-PIT-BULL-MIX,,,,,,
1291,mutt-from-shelter.--looks-like-border-collie,,,,,,
1292,AMERICAN-PIT-BULL,,,,,,
1293,PEK-A-TESE,,,,,,
1294,Shorky,,,,,,
1295,KING-CH-BICHON,,,,,,
1296,PETERSBURG-ORCHID,,,,,,
1297,SHEEP-DOG,,,,,,
1298,Border-Collie-Ausie-Shep-X,,,,,,
1299,Hound-Mixed,,,,,,
1300,beagle/mix,,,,,,
1301,Shepherd-Mis,,,,,,
1302,CHIHUAHUA/YORKIE-MIX,,,,,,
1303,Small-Fox-Terrier,,,,,,
1304,Poemranan-Mix,,,,,,
1305,Pomtese,,,,,,
1306,Pug/Chihuahua,,,,,,
1307,DOXIE-CHIHUAHUA,,,,,,
1308,Staffordshire-Ibizian-Hound,,,,,,
1309,DOGO-ARGENTINO,,,,,,
1310,collie,[24],[22],"[60, 75]","[50, 65]"," Most collies are good with children
and other pets if thoroughly socialized when they
are puppies. They are gentle and tolerant and will
stay with children at play for hours on end. If
raised with children, they will have a high desire
to be with children and â€ścare forâ€ť them
because of their herding background.",
1311,Mini-Pinscher/-Chihuahua-Mix,,,,,,
1312,Podengo-Pequeno,,,,,,
1313,HUSKY-GOLDEN-RETRIEVER-MIX,,,,,,
1314,Lab-Golden-Mix,,,,,,
1315,Maltese/Terrier/Poodle-Mix,,,,,,
1316,American-Staffordshire-Terrier-X,,,,,,
1317,CHOW-CHOW-MIX,,,,,,
1318,Poodle/Yorkie,,,,,,
1319,Nova-Scotia-Toller,,,,,,
1320,Bernedoodle,,,,,,
1321,Beagle/Rat-Terrier,,,,,,
1322,pit,,,,,,
1323,Shihtese,,,,,,
1324,REd-Pit-Mix,,,,,,
1325,ROYAL-BAH-POTCA,,,,,,
1326,Terr-Mix,,,,,,
1327,Poodle/ShihTzu,,,,,,
1328,CHINESE-CRESTED,"[9, 13]","[9, 13]","[5, 10, 12]","[5, 10, 12]",,
1329,Rat-terrier-mix,,,,,,
1330,sharpei-beagle,,,,,,
1331,Bichon-Frise-Mix,,,,,,
1332,Harrier-Mix,,,,,,
1333,BEA/-GOLD/-RET-MIX,,,,,,
1334,chi-Yorkie,,,,,,
1335,BEAGLE-JACK-RUSSELL,,,,,,
1336,MINI-PIN-MIX,,,,,,
1337,GERMAN-SHORTHAIRED-POINTER,"[23, 25]","[21, 23]","[55, 70]","[45, 60]",,
1338,WELSH-CORGI---X,,,,,,
1339,SHIH-TZU-X,,,,,,
1340,Pomerian-Mix,,,,,,
1341,chiweenie,"[6, 10]","[6, 10]","[5, 12]","[5, 12]","Chiweenies do best in homes with one or two adults and no children, but they can be trained to get along with older children and other pets.",Chiweenies are an indoor dog who likes to go for outdoor walks in nice weather.
1342,X-golden-wolf-hound,,,,,,
1343,COCA-POO,,,,,,
1344,PITBULL-BULLDOG,,,,,,
1345,Maltpoo,,,,,,
1346,Red-nose-pit-bull-terrier,,,,,,
1347,Poodle/Pompoo,,,,,,
1348,DACHSHUND-MIX,,,,,,
1349,hound-beagle,,,,,,
1350,HOUND-TERRIER-MIX,,,,,,
1351,Fox-Hound,,,,,,
1352,Chih-Mix,,,,,,
1353,Blue-Nose-Pitbull,,,,,,
1354,Mini-Aust.Shepherd,,,,,,
1355,WHEATON-TERRIER-MIX,,,,,,
1356,Peagle,,,,,,
1357,Cav-KC,,,,,,
1358,Goldendoole,,,,,,
1359,Lhatese,"[8, 10]","[8, 10]","[6, 15]","[6, 15]",The Lhatese do very well with children of all ages. They have a lot of confidence and like to be the boss.," The Lhatese must be kept in the house, but he will enjoy walks or an outdoor playtime with his owner."
1360,LAB/CORGI-X,,,,,,
1361,Taiwan-Mountain-Dog,,,,,,
1362,LAB-WEIMARNER,,,,,,
1363,BRITTANY---X,,,,,,
1364,Beagle-Pei,,,,,,
1365,Dalhsund-Maltese-terrier-mix,,,,,,
1366,MINI-BULLDOG,,,,,,
1367,DACHSHUN/CHIHUA,,,,,,
1368,POODLE/WESTIE,,,,,,
1369,BORDER-COLLIE-X,,,,,,
1370,Polanese,,,,,,
1371,BORDER-TERRIER,[13],[11],"[13, 16]","[11, 14]",,
1372,Shepherd--X,,,,,,
1373,Unknown-Hound-mix,,,,,,
1374,chihuahua/terrier-mix,,,,,,
1375,Blackmouthcur,,,,,,
1376,SHELTIE-SHEP-MIX,,,,,,
1377,PIT-BULL--MIX,,,,,,
1378,Sheltie/Jack-Russ-Mix,,,,,,
1379,Beagle/Fr.Bull-Dog,,,,,,
1380,Maltese-Terrier-Mix,,,,,,
1381,PIT-BULL/LAB-MIX,,,,,,
1382,Lab-Mutt-Mix,,,,,,
1383,WIRE-FOX-TERR-MIX,,,,,,
1384,Yorki-Poo,,,,,,
1385,australian-labradoodle,,,,,,
1386,Shepherd-Pintzer,,,,,,
1387,Spanador,,,,,,
1388,BEARDED-COLLIE--X,,,,,,
1389,Pomeranian-mix,,,,,,
1390,papitese,,,,,,
1391,Hound-Mastiff,,,,,,
1392,Spitz,,,,,,
1393,Walker-Hound,,,,,,
1394,POODLE-MIXED,,,,,,
1395,Springer-Spaniel,,,,,,
1396,Pit-Mix,,,,,,
1397,MINI-DOBERMAN,,,,,,
1398,Havashire,,,,,,
1399,Mini-Golden-Doodle,,,,,,
1400,HUSKY-GER-SHEP-HOUND,,,,,,
1401,MIX-BORDER-COLLIE--HUSKY-SHEPHERD,,,,,,
1402,Jack-Russell-X,,,,,,
1403,Maltese-Pomeranian,,,,,,
1404,Pom-Chi,,,,,,
1405,BORDER-COLLIE--X,,,,,,
1406,Chihuahua--Mixed,,,,,,
1407,Peke-A-Tese,,,,,,
1408,Husky/Lab-Mix,,,,,,
1409,COOCKAPOO,,,,,,
1410,BULLDOG-MIX,,,,,,
1411,maltese-westie-mix,,,,,,
1412,PEKAPOO,,,,,,
1413,Frend-Poo,,,,,,
1414,schipperke-mix-rescue,,,,,,
1415,YORKIE-POODLE-X,,,,,,
1416,BIEWER-TERR,,,,,,
1417,Dachshund/Chihuahua-Mix,,,,,,
1418,MALT-POODLE,,,,,,
1419,SPITZ-X,,,,,,
1420,Yorkie-Poodle,,,,,,
1421,SHIH-TUZ-&-POODLE-MIX,,,,,,
1422,GOLDEN-RET-HUSKY-MIX,,,,,,
1423,Shepherd/Boxer,,,,,,
1424,Yorkie-Maltese,,,,,,
1425,SHI-POO,,,,,,
1426,PEAK-A-POO,,,,,,
1427,MOUNTAIN-FEIST,,,,,,
1428,German-pinscher,"[16, 19, 48]","[16, 19, 48]","[25, 35, 16]","[25, 35, 16]",,
1429,PARSON-RUSSELL-TERRIER,"[12, 14, 36]","[12, 14, 36]","[14, 18, 8]","[14, 18, 8]",,
1430,Golden-doodle,,,,,,
1431,Pomeranian-Maltese,,,,,,
1432,Great-Dane-Mix,,,,,,
1433,SCHNAUZER-X,,,,,,
1434,Shih-Malt,,,,,,
1435,Cava-poo,,,,,,
1436,YORKIE-TERRIER-MIX,,,,,,
1437,Beagle-Mixed,,,,,,
1438,Schanuzer/Yorkie,,,,,,
1439,FLAT-COATED-RETRIEVER,[23],[22],"[60, 70]","[60, 70]",,
1440,chinese-crested,"[9, 13]","[9, 13]","[5, 10, 12]","[5, 10, 12]",,
1441,wheaton-mix,,,,,,
1442,Tea-Cup-Poodle,,,,,,
1443,White-Terrier,,,,,,
1444,SHIHT-ZU-IMPERIAL,,,,,,
1445,"Sapsal,-Korea",,,,,,
1446,AUST-SHEPHERD,,,,,,
1447,Teacup-Yorkshire-Terrier,,,,,,
1448,cockachon,,,,,,
1449,YORKSHIRE-X,,,,,,
1450,CAIRN-TERRIER-X,,,,,,
1451,Red-Bone-Coon-Hound,,,,,,
1452,Collie-Beared-Mix,,,,,,
1453,CAVASHON,,,,,,
1454,shepherd-mix,,,,,,
1455,MALT-MIX,,,,,,
1456,AM-STAFFORDSHIRE-TERR,,,,,,
1457,Long-Haired-Chihuahua,,,,,,
1458,Tiny-Goldendoodle,,,,,,
1459,Havachon,,,,,,
1460,zuchon,,,,,,
1461,mix-breed,,,,,,
1462,Chihuhahu/Dachshund-Mix,,,,,,
1463,yorkie-poo,,,,,,
1464,Shih-Poo-Mix,,,,,,
1465,RAT-TERR,,,,,,
1466,Rottweiler-Mix,,,,,,
1467,Yorkshire-Poodle-Mix,,,,,,
1468,Schnauzer/Terrier-Mix,,,,,,
1469,German-Shepherd-Mix,,,,,,
1470,Lab-retriver-+-pitt-bull,,,,,,
1471,Dogo/Pitbull/Bulldog-mix,,,,,,
1472,"Possibly-part-terrier,-part-Labrador-retriever",,,,,,
1473,TOY-AUSSIE,,,,,,
1474,Westiepoo,,,,,,
1475,Red-Poodle,,,,,,
1476,LAB/SHEPHERD-X,,,,,,
1477,CAVAZOO,,,,,,
1478,COCKALIER,,,,,,
1479,ITALIAN-GREYHOUND-TERR-MIX,,,,,,
1480,Shepherd--Mix,,,,,,
1481,TERR-DASH-MIX,,,,,,
1482,LAB-AUSTRALIAN-SHEPHERD-MIX,,,,,,
1483,Chihuahua-Short-Coat,,,,,,
1484,SCHNOCKER,,,,,,
1485,Airedale,,,,,,
1486,COCKERPOO,,,,,,
1487,Silky-Terrier-Mix,,,,,,
1488,Maltese-Chihuahua-Mix,,,,,,
1489,Smooth-Hair-Fox-Terrier,,,,,,
1490,Shoorkie,,,,,,
1491,Shih-Tzu/Bichon-Mix,,,,,,
1492,Peke-A-Ppp,,,,,,
1493,Lhasa-Mix,,,,,,
1494,TERR-MIX,,,,,,
1495,Jack-Russell-Terrier-X,,,,,,
1496,ENG-SETTER,,,,,,
1497,Laasa-Apso-mix,,,,,,
1498,Husky/Labrador-Retriever,,,,,,
1499,bichon/shihtzu,,,,,,
1500,Chihuahua-mix,,,,,,
1501,AM-PIT-BULL-TERRIER-MIX,,,,,,
1502,PATTERDALE-TERRIER-MIX,,,,,,
1503,YORKSHIRE-TERR-X,,,,,,
1504,Dalmation/Terrier/Poodle,,,,,,
1505,BOSTON-TERR---X,,,,,,
1506,PODENAO-PORT,,,,,,
1507,Breed-?,,,,,,
1508,Sharpal---Rat-Terrier,,,,,,
1509,Cur,,,,,,
1510,Cock-a-poo,,,,,,
1511,BRITTANY,,,,,,
1512,Lab-mixed,,,,,,
1513,manchester-terrier,"[10, 12]","[10, 12]","[12, 22]","[12, 22]","Small children and non-canine pets that
were introduced while still young should be accepted. Respect should be shown to the petsâ€™ toys and food. ",
1514,pom-chi,,,,,,
1515,Maltese-/-Yorkie-Mix---Morkie,,,,,,
1516,SATO-X,,,,,,
1517,Beagle/Dachshund-Mix,,,,,,
1518,shepherd/terrier,,,,,,
1519,BRITTANY-SPAN,,,,,,
1520,SHEPHERD/ROTTIX,,,,,,
