ZipCode,american pit bull mix / pit bull mix,american pit bull terrier/pit bull,australian shepherd,beagle,beagle crossbreed,boston terrier,cavalier king charles spaniel,chihuahua,chihuahua crossbreed,cocker spaniel,french bulldog,german shepherd crossbreed,german shepherd dog,golden retriever,goldendoodle,havanese,jack russell terrier,labradoodle,labrador retriever,labrador retriever crossbreed,maltese,not provided,pomeranian,poodle,poodle crossbreed,"poodle, miniature","poodle, toy",pug,shiba inu,shih tzu,shih tzu crossbreed,terrier mix,unknown,yorkshire terrier
10001,,,,,,,,52.0,,,60.0,,,,,,,,55.0,,,,,,,,,,,,,,82.0,52.0
10002,59.0,,,,,,,105.0,,,,,,,,,,,,51.0,57.0,,55.0,,,,,,,83.0,,,138.0,110.0
10003,,,50.0,,,,,98.0,,,50.0,,,50.0,50.0,,,,91.0,74.0,,53.0,,,50.0,,,,,,,53.0,196.0,56.0
10009,68.0,,67.0,,51.0,53.0,69.0,162.0,86.0,,84.0,,,58.0,62.0,72.0,,,103.0,102.0,80.0,67.0,65.0,,60.0,,,,63.0,110.0,,66.0,217.0,132.0
10010,,,,,,,58.0,62.0,,,56.0,,,51.0,51.0,,,,69.0,52.0,50.0,,,,,,,,,,,,80.0,67.0
10011,,,59.0,,,,66.0,135.0,,,133.0,,,78.0,55.0,76.0,,54.0,118.0,81.0,50.0,,54.0,,72.0,,54.0,,,78.0,,64.0,244.0,83.0
10012,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,97.0,
10013,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,77.0,
10014,,,50.0,,,,56.0,57.0,,,75.0,,,61.0,,53.0,,,97.0,68.0,,,,,64.0,,,,,,,,158.0,
10016,,,51.0,,,,61.0,92.0,60.0,,64.0,,,,54.0,70.0,,,69.0,77.0,68.0,,57.0,,58.0,,,,,77.0,,52.0,125.0,94.0
10017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,
10019,,,,,,,,129.0,55.0,,89.0,,,69.0,,53.0,,,91.0,67.0,69.0,50.0,68.0,,54.0,,51.0,,,79.0,,,143.0,87.0
10021,,,,,,,71.0,71.0,,,,,,73.0,53.0,100.0,,,70.0,,61.0,,,,52.0,,51.0,,,90.0,,,151.0,63.0
10022,,,,,,,50.0,58.0,,,,,,,,,,,51.0,,59.0,,,,,,51.0,,,55.0,,,87.0,55.0
10023,,,,,,,119.0,110.0,56.0,,79.0,,,110.0,79.0,92.0,,76.0,165.0,99.0,71.0,71.0,,,81.0,55.0,52.0,,,97.0,,51.0,259.0,93.0
10024,,,,62.0,,,81.0,74.0,62.0,,,,,98.0,77.0,99.0,61.0,93.0,171.0,117.0,,60.0,,,64.0,56.0,,,,88.0,,66.0,270.0,71.0
10025,81.0,51.0,64.0,66.0,,,73.0,131.0,59.0,53.0,68.0,58.0,64.0,91.0,62.0,109.0,70.0,93.0,234.0,158.0,83.0,108.0,56.0,55.0,81.0,69.0,64.0,52.0,,99.0,,80.0,380.0,143.0
10026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,
10027,,,,,,,,71.0,51.0,,,,,,,,,,,,,,,,,,,,,50.0,,,117.0,59.0
10028,,,50.0,,,,66.0,61.0,,,,,,78.0,72.0,103.0,,57.0,100.0,59.0,57.0,,,,61.0,,,,,94.0,,,189.0,63.0
10029,125.0,96.0,,,,,,154.0,78.0,,,,,,,,,,58.0,64.0,86.0,65.0,54.0,,,,,,,167.0,62.0,,174.0,179.0
10031,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,94.0,57.0
10032,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,93.0,65.0
10033,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,97.0,69.0
10034,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,111.0,68.0
10035,52.0,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,,,52.0,,,70.0,56.0
10036,,,,,,,,95.0,,,57.0,,,,,,,,59.0,64.0,52.0,,,,,,,,,59.0,,,103.0,65.0
10038,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,84.0,52.0
10040,,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,60.0,58.0
10065,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,90.0,63.0
10075,,,,,,,,,,,,,,,,50.0,,,52.0,,,,,,,,,,,,,,80.0,
10128,54.0,,,55.0,,,69.0,125.0,56.0,,51.0,,,92.0,93.0,107.0,,79.0,142.0,97.0,74.0,74.0,,,60.0,,68.0,,,106.0,,55.0,247.0,107.0
10301,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,109.0,
10302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,
10303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,
10304,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,63.0,,,115.0,70.0
10305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,127.0,64.0
10306,52.0,,,,,,,69.0,,,,,,,,,,,90.0,,66.0,54.0,,,,,,,,129.0,,,200.0,115.0
10308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,129.0,64.0
10309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,110.0,92.0
10310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,51.0
10312,53.0,,,50.0,,,,81.0,,,,,54.0,,,65.0,,,117.0,69.0,82.0,82.0,,,,,,,,164.0,,,226.0,143.0
10314,88.0,,,59.0,,,,55.0,,,,,74.0,58.0,,,,,120.0,73.0,95.0,59.0,52.0,,,,,,,179.0,,,244.0,160.0
10451,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,51.0,67.0
10452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,50.0,70.0
10453,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0
10454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,53.0
10455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,58.0
10456,51.0,60.0,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,77.0,,,60.0,101.0
10457,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,66.0
10458,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,62.0
10459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,56.0,81.0
10460,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,50.0,82.0
10461,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,109.0,59.0
10462,51.0,54.0,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,102.0,,,82.0,118.0
10463,53.0,,,,,,,80.0,,,,,,,,,,,,,53.0,,,,,,,,,72.0,,,136.0,96.0
10465,57.0,58.0,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,93.0,,,124.0,82.0
10466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0
10467,73.0,74.0,,,,,,62.0,,,,,,,,,,,,,,,,,,,,,,102.0,,,102.0,120.0
10468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0
10469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,,,73.0,64.0
10471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,
10472,57.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,,,74.0,70.0
10473,51.0,68.0,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,,93.0,,,79.0,130.0
10475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0
11101,,,,,,,,77.0,,,55.0,,,,,,,,76.0,68.0,,,,,,,,,,,,,93.0,61.0
11102,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,65.0,
11103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,
11104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,
11105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,
11106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,82.0,
11201,56.0,,72.0,,,,60.0,106.0,75.0,,91.0,,,84.0,78.0,58.0,81.0,56.0,163.0,119.0,,81.0,,,90.0,,,,54.0,88.0,,65.0,264.0,86.0
11203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,59.0,52.0
11204,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,52.0,,,,71.0
11205,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,107.0,
11206,78.0,64.0,,,,,,115.0,54.0,,,,,,,,,,,,,57.0,53.0,,,,,,,111.0,60.0,,147.0,140.0
11207,85.0,73.0,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,89.0,,,142.0,125.0
11208,56.0,65.0,,,,,,55.0,,,,,,,,,,,,,,51.0,,,,,,,,84.0,,,144.0,93.0
11209,56.0,,,,,,,81.0,,,,,,,,,,,63.0,,62.0,,,,,,,,,123.0,,,177.0,107.0
11211,,,,,,,,98.0,,,55.0,,,,,,,,81.0,76.0,,63.0,,,,,,,,,,53.0,162.0,61.0
11212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,109.0,87.0
11213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,
11214,,,,,,,,57.0,,,,,,,,,,,,,68.0,,62.0,,,,,,,108.0,,,87.0,122.0
11215,79.0,,67.0,67.0,61.0,,,103.0,62.0,,,83.0,,75.0,61.0,,,58.0,171.0,169.0,,99.0,,,55.0,,,,,67.0,,76.0,298.0,62.0
11216,77.0,,,,,,,56.0,53.0,,,,,,,,,,,60.0,,56.0,,,,,,,,,,,119.0,
11217,,,,,,,,70.0,,,,,,,,,,,99.0,84.0,,,,,,,,,,60.0,,,140.0,53.0
11218,66.0,,,,,,,51.0,,,,50.0,,,,,,,58.0,71.0,,51.0,,,,,,,,56.0,,,148.0,54.0
11220,,,,,,,,73.0,,,,,,,,,,,,,53.0,,,,,,,,,89.0,,,84.0,97.0
11221,96.0,72.0,,,,,,102.0,,,,,,,,,,,,78.0,,82.0,,,,,,,,71.0,,,174.0,81.0
11222,,,,,,,,97.0,,,,,,,,,,,61.0,70.0,,,,,,,,,,,,50.0,99.0,64.0
11223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,66.0,69.0
11224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,57.0,88.0
11225,,,,,,,,,,,,,,,,,,,,64.0,,54.0,,,,,,,,,,,98.0,
11226,77.0,,,,,,,55.0,,,,,,,,,,,,74.0,,62.0,,,,,,,,67.0,,,140.0,86.0
11228,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,82.0,,,58.0,57.0
11229,,,,,,,,57.0,,,,,,,,,,,,,60.0,,,,,,,,,109.0,,,127.0,90.0
11230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,74.0,
11231,50.0,,,,,,,55.0,,,,,,,,,,,61.0,75.0,,50.0,,,,,,,,55.0,,,151.0,
11233,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,115.0,79.0
11234,53.0,,,,,,,56.0,,,,,,,,,,,55.0,61.0,68.0,59.0,,,,,,,,104.0,,,172.0,122.0
11235,,,,,,,,63.0,,,,,,,,,,,,,55.0,,,,,,,,,103.0,,,93.0,112.0
11236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,,,110.0,88.0
11237,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,92.0,66.0
11238,95.0,,,,,,,78.0,,,,,,,,,,,105.0,115.0,,81.0,,,,,,,,55.0,,61.0,165.0,
11239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,
11249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,
11354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0
11357,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,75.0,57.0
11358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,
11361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,
11364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,
11367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,
11368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,51.0,55.0
11370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,
11372,,,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,70.0,,,96.0,
11373,,,,,,,,52.0,,,,,,,,,,,,,52.0,,,,,,,,,64.0,,,68.0,72.0
11374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,
11375,,,,,,,,72.0,,,,,,,,,,,53.0,,68.0,59.0,,,,,,,,70.0,,,154.0,55.0
11377,,,,,,,,64.0,,,,,,,,,,,,,64.0,,,,,,,,,83.0,,,122.0,79.0
11378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,
11379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,118.0,52.0
11385,83.0,76.0,,,,,,93.0,,,,,,,,,,,53.0,73.0,65.0,64.0,,,,,,,,91.0,,,202.0,127.0
11414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,
11417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,
11421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,58.0
11434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,54.0,58.0
11435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,51.0
11691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,
